unit,isced97,hlth_pb,sex,age,time,geo,value
THS,ED5_6,PB1041,M,Y25-34,2011,BE ,234.861
THS,ED5_6,PB1041,T,Y25-34,2011,BE ,557.684
THS,ED5_6,PB1041,F,Y35-44,2011,BE ,308.527
THS,ED5_6,PB1041,M,Y35-44,2011,BE ,242.147
THS,ED5_6,PB1041,T,Y35-44,2011,BE ,550.674
THS,ED5_6,PB1041,F,Y45-54,2011,BE ,222.732
THS,ED5_6,PB1041,M,Y45-54,2011,BE ,223.929
THS,ED5_6,PB1041,T,Y45-54,2011,BE ,446.661
THS,ED5_6,PB1041,F,Y55-64,2011,BE ,121.935
THS,ED5_6,PB1041,M,Y55-64,2011,BE ,153.22
THS,ED5_6,PB1041,T,Y55-64,2011,BE ,275.155
THS,ED5_6,PB1070,F,TOTAL,2011,BE ,92.174
THS,ED5_6,PB1070,M,TOTAL,2011,BE ,50.556
THS,ED5_6,PB1070,T,TOTAL,2011,BE ,142.73
THS,ED5_6,PB1070,F,Y15-24,2011,BE ,
THS,ED5_6,PB1070,M,Y15-24,2011,BE ,
THS,ED5_6,PB1070,T,Y15-24,2011,BE ,
THS,ED5_6,PB1070,F,Y25-34,2011,BE ,9.899
THS,ED5_6,PB1070,M,Y25-34,2011,BE ,5.34
THS,ED5_6,PB1070,T,Y25-34,2011,BE ,15.239
THS,ED5_6,PB1070,F,Y35-44,2011,BE ,22.002
THS,ED5_6,PB1070,M,Y35-44,2011,BE ,7.419
THS,ED5_6,PB1070,T,Y35-44,2011,BE ,29.421
THS,ED5_6,PB1070,F,Y45-54,2011,BE ,31.571
THS,ED5_6,PB1070,M,Y45-54,2011,BE ,13.847
THS,ED5_6,PB1070,T,Y45-54,2011,BE ,45.418
THS,ED5_6,PB1070,F,Y55-64,2011,BE ,28.554
THS,ED5_6,PB1070,M,Y55-64,2011,BE ,23.951
THS,ED5_6,PB1070,T,Y55-64,2011,BE ,52.505
THS,ED5_6,PB1071,F,TOTAL,2011,BE ,1067.376
THS,ED5_6,PB1071,M,TOTAL,2011,BE ,926.384
THS,ED5_6,PB1071,T,TOTAL,2011,BE ,1993.76
THS,ED5_6,PB1071,F,Y15-24,2011,BE ,83.861
THS,ED5_6,PB1071,M,Y15-24,2011,BE ,61.04
THS,ED5_6,PB1071,T,Y15-24,2011,BE ,144.9
THS,ED5_6,PB1071,F,Y25-34,2011,BE ,327.223
THS,ED5_6,PB1071,M,Y25-34,2011,BE ,238.388
THS,ED5_6,PB1071,T,Y25-34,2011,BE ,565.61
THS,ED5_6,PB1071,F,Y35-44,2011,BE ,307.383
THS,ED5_6,PB1071,M,Y35-44,2011,BE ,245.703
THS,ED5_6,PB1071,T,Y35-44,2011,BE ,553.085
THS,ED5_6,PB1071,F,Y45-54,2011,BE ,224.335
THS,ED5_6,PB1071,M,Y45-54,2011,BE ,227.39
THS,ED5_6,PB1071,T,Y45-54,2011,BE ,451.725
THS,ED5_6,PB1071,F,Y55-64,2011,BE ,124.575
THS,ED5_6,PB1071,M,Y55-64,2011,BE ,153.864
THS,ED5_6,PB1071,T,Y55-64,2011,BE ,278.438
THS,ED5_6,TOTAL,F,TOTAL,2011,BE ,1159.862
THS,ED5_6,TOTAL,M,TOTAL,2011,BE ,976.94
THS,ED5_6,TOTAL,T,TOTAL,2011,BE ,2136.803
THS,ED5_6,TOTAL,F,Y15-24,2011,BE ,84.008
THS,ED5_6,TOTAL,M,Y15-24,2011,BE ,61.04
THS,ED5_6,TOTAL,T,Y15-24,2011,BE ,145.047
THS,ED5_6,TOTAL,F,Y25-34,2011,BE ,337.122
THS,ED5_6,TOTAL,M,Y25-34,2011,BE ,243.727
